"Table 1.1  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2010",,,,,,,,,,,,,,,,,,,,
"(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated)",,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income","All returns",,,,,"Taxable returns",,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,"Taxable income",,,"Income tax after credits",,,"Total income tax",,,,
,,,,,,,,,,"Number of
returns","Amount","Percent of
total","Number of
returns","Amount","Percent of
total","Amount","Percent of",,,"Average
total income 
tax (dollars)"
,,,"Amount","Percent
of total","Average
(dollars)",,,"Amount","Percent
of total",,,,,,,,"Total","Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
"Size of Adjusted Gross Income",,,,,,,,,,,,,,,,,,,,
"All returns","142,892,051",100.0,"8,089,142,092",100.0,"56,610","84,475,933",100.0,"7,246,201,878",100.0,"84,455,304","5,282,376,924",100.0,"84,475,930","951,670,957",100.0,"951,673,976",100.0,18.0,13.1,"11,266"
"No adjusted gross income","2,554,170",1.8,"-188,804,428","[1]","-73,920","6,014","[2]","-6,111,456","[1]",0,0,"[1]","6,011","250,487","[2]","250,488","[2]","[1]","[1]","41,651"
"$1 under $5,000","9,963,766",7.0,"25,889,267",0.3,"2,598","285,299",0.3,"765,302","[2]","282,978","305,638","[2]","285,299","42,331","[2]","42,331","[2]",13.9,5.5,148
"$5,000 under $10,000","12,277,702",8.6,"93,220,209",1.2,"7,593","1,967,069",2.3,"14,886,296",0.2,"1,967,041","3,881,124",0.1,"1,967,069","395,584","[2]","395,584","[2]",10.2,2.7,201
"$10,000 under $15,000","12,806,501",9.0,"160,115,948",2.0,"12,503","3,021,672",3.6,"39,267,757",0.5,"3,021,560","13,467,640",0.3,"3,021,672","928,662",0.1,"928,662",0.1,6.9,2.4,307
"$15,000 under $20,000","11,722,728",8.2,"204,566,190",2.5,"17,450","4,895,526",5.8,"85,615,474",1.2,"4,895,026","38,523,137",0.7,"4,895,526","2,503,969",0.3,"2,503,969",0.3,6.5,2.9,511
"$20,000 under $25,000","10,185,282",7.1,"228,543,319",2.8,"22,439","4,718,512",5.6,"105,992,911",1.5,"4,718,472","55,145,640",1.0,"4,718,512","4,756,061",0.5,"4,756,061",0.5,8.6,4.5,"1,008"
"$25,000 under $30,000","8,950,075",6.3,"245,309,107",3.0,"27,409","4,690,889",5.6,"128,948,650",1.8,"4,690,485","72,932,391",1.4,"4,690,889","7,023,780",0.7,"7,023,780",0.7,9.6,5.4,"1,497"
"$30,000 under $40,000","14,613,296",10.2,"508,012,748",6.3,"34,764","9,871,627",11.7,"345,171,098",4.8,"9,870,601","212,809,105",4.0,"9,871,627","21,115,460",2.2,"21,115,460",2.2,9.9,6.1,"2,139"
