x,y
1,0.0026809652
2,0.0053619305
3,0.008042895
4,0.010723861
5,0.013404826
6,0.01608579
7,0.018766755
8,0.021447722
9,0.024128687
10,0.026809651
11,0.029490616
12,0.03217158
13,0.034852546
14,0.03753351
15,0.04021448
16,0.042895444
17,0.04557641
18,0.048257373
19,0.050938338
20,0.053619303
21,0.056300268
22,0.058981232
23,0.061662197
24,0.06434316
25,0.06702413
26,0.06970509
27,0.072386056
28,0.07506702
29,0.077747986
30,0.08042896
31,0.08310992
32,0.08579089
33,0.08847185
34,0.09115282
35,0.09383378
36,0.09651475
37,0.09919571
38,0.101876676
39,0.10455764
40,0.107238606
41,0.10991957
42,0.112600535
43,0.1152815
44,0.117962465
45,0.12064343
46,0.123324394
47,0.12600537
48,0.12868632
49,0.1313673
50,0.13404825
51,0.13672923
52,0.13941018
53,0.14209116
54,0.14477211
55,0.14745308
56,0.15013404
57,0.15281501
58,0.15549597
59,0.15817694
60,0.16085792
61,0.16353887
62,0.16621985
63,0.1689008
64,0.17158177
65,0.17426273
66,0.1769437
67,0.17962466
68,0.18230563
69,0.18498659
70,0.18766756
71,0.19034852
72,0.1930295
73,0.19571045
74,0.19839142
75,0.20107238
76,0.20375335
77,0.20643431
78,0.20911528
79,0.21179625
80,0.21447721
81,0.21715818
82,0.21983914
83,0.22252011
84,0.22520107
85,0.22788204
86,0.230563
87,0.23324397
88,0.23592493
89,0.2386059
90,0.24128686
91,0.24396783
92,0.24664879
93,0.24932976
94,0.25201073
95,0.2546917
96,0.25737265
97,0.2600536
98,0.2627346
99,0.26541555
100,0.2680965
101,0.2707775
102,0.27345845
103,0.2761394
104,0.27882037
105,0.28150135
106,0.2841823
107,0.28686327
108,0.28954422
109,0.2922252
110,0.29490617
111,0.29758713
112,0.30026808
113,0.30294907
114,0.30563003
115,0.308311
116,0.31099194
117,0.31367293
118,0.3163539
119,0.31903484
120,0.32171583
121,0.3243968
122,0.32707775
123,0.3297587
124,0.3324397
125,0.33512065
126,0.3378016
127,0.34048256
129,0.34316355
130,0.3458445
131,0.34852546
132,0.35120642
133,0.3538874
134,0.35656837
135,0.35924932
136,0.36193028
137,0.36461127
138,0.36729223
139,0.36997318
140,0.37265417
141,0.37533513
142,0.37801608
143,0.38069704
144,0.38337803
145,0.386059
146,0.38873994
147,0.3914209
149,0.3941019
150,0.39678285
152,0.3994638
153,0.40214476
154,0.40482575
155,0.4075067
156,0.41018766
158,0.41286862
159,0.4155496
161,0.41823056
163,0.42091152
164,0.4235925
167,0.42627347
172,0.42895442
173,0.43163538
174,0.43431637
176,0.43699732
177,0.43967828
178,0.44235924
179,0.44504023
181,0.44772118
183,0.45040214
184,0.4530831
186,0.45576409
189,0.45844504
190,0.461126
191,0.46380696
192,0.46648794
195,0.4691689
197,0.47184986
205,0.47453085
206,0.4772118
207,0.47989276
208,0.48257372
209,0.4852547
210,0.48793566
211,0.49061662
212,0.49329758
214,0.49597856
215,0.49865952
216,0.5013405
218,0.50402147
221,0.5067024
226,0.5093834
227,0.51206434
228,0.5147453
229,0.51742625
232,0.5201072
233,0.5227882
234,0.5254692
236,0.52815014
239,0.5308311
240,0.53351206
241,0.536193
244,0.538874
248,0.541555
250,0.54423594
253,0.5469169
255,0.54959786
256,0.5522788
257,0.5549598
259,0.55764073
261,0.5603217
262,0.5630027
263,0.56568366
273,0.5683646
277,0.5710456
278,0.57372653
283,0.5764075
286,0.57908845
287,0.58176947
289,0.5844504
291,0.5871314
292,0.58981234
293,0.5924933
299,0.59517425
301,0.5978552
302,0.60053617
307,0.6032172
308,0.60589814
310,0.6085791
312,0.61126006
313,0.613941
314,0.616622
315,0.6193029
317,0.6219839
320,0.6246649
323,0.62734586
327,0.6300268
328,0.6327078
329,0.63538873
333,0.6380697
335,0.64075065
336,0.64343166
339,0.6461126
340,0.6487936
341,0.65147454
345,0.6541555
349,0.65683645
351,0.6595174
356,0.66219836
357,0.6648794
358,0.66756034
359,0.6702413
362,0.67292225
364,0.6756032
365,0.67828417
368,0.6809651
380,0.6836461
384,0.6863271
387,0.68900806
390,0.691689
392,0.69437
394,0.6970509
402,0.6997319
404,0.70241284
408,0.70509386
410,0.7077748
415,0.7104558
417,0.71313673
421,0.7158177
425,0.71849865
426,0.7211796
427,0.72386056
437,0.7265416
441,0.72922254
445,0.7319035
448,0.73458445
450,0.7372654
455,0.73994637
460,0.7426273
464,0.74530834
478,0.7479893
497,0.75067025
504,0.7533512
510,0.75603217
511,0.7587131
513,0.7613941
516,0.76407504
519,0.76675606
521,0.769437
522,0.772118
524,0.7747989
530,0.7774799
535,0.78016084
536,0.7828418
539,0.78552276
547,0.7882038
550,0.79088473
553,0.7935657
562,0.79624665
563,0.7989276
584,0.80160856
597,0.8042895
605,0.80697054
609,0.8096515
621,0.81233245
627,0.8150134
636,0.81769437
646,0.8203753
651,0.8230563
661,0.82573724
670,0.82841825
671,0.8310992
676,0.83378017
682,0.8364611
702,0.8391421
738,0.84182304
742,0.844504
769,0.847185
781,0.849866
782,0.85254693
788,0.8552279
792,0.85790884
793,0.8605898
799,0.86327076
810,0.8659517
813,0.86863273
834,0.8713137
867,0.87399465
938,0.8766756
946,0.87935656
970,0.8820375
1014,0.8847185
1023,0.88739944
1044,0.89008045
1062,0.8927614
1071,0.89544237
1084,0.8981233
1107,0.9008043
1122,0.90348524
1136,0.9061662
1186,0.9088472
1269,0.91152817
1273,0.9142091
1304,0.9168901
1305,0.91957104
1352,0.922252
1417,0.92493296
1512,0.9276139
1529,0.93029493
1680,0.9329759
1777,0.93565685
1906,0.9383378
2199,0.94101876
2430,0.9436997
2703,0.9463807
2725,0.9490617
2913,0.95174265
2984,0.9544236
3145,0.95710456
3148,0.9597855
3408,0.9624665
3745,0.96514744
3850,0.9678284
3882,0.9705094
4262,0.97319037
5070,0.9758713
5130,0.9785523
5227,0.98123324
5298,0.9839142
5934,0.98659515
7495,0.9892761
8604,0.9919571
10118,0.9946381
12841,0.99731904
17507,1.0
